run_id,a,r0,theta0,Fl,Fh
1.0,0.3,0.78,1.22173,0.5,2.21
2.0,0.3,0.78,1.24666,0.5,2.1965001
3.0,0.3,0.78,1.2716,0.5,2.1470001
4.0,0.3,0.78,1.29653,0.5,2.165
5.0,0.3,0.78,1.32146,0.5,2.1695001
6.0,0.3,0.78,1.3464,0.5,2.165
7.0,0.3,0.78,1.37133,0.5,2.1559999
8.0,0.3,0.78,1.39626,0.5,2.1605
9.0,0.3,0.79,1.22173,0.5,3.4070001
10.0,0.3,0.79,1.24666,0.5,2.2145
11.0,0.3,0.79,1.2716,0.5,2.2054999
12.0,0.3,0.79,1.29653,0.5,2.075
13.0,0.3,0.79,1.32146,0.5,2.1110001
14.0,0.3,0.79,1.3464,0.5,2.1199999
15.0,0.3,0.79,1.37133,0.5,2.1155
16.0,0.3,0.79,1.39626,0.5,2.1064999
17.0,0.3,0.8,1.22173,0.5,3.7490001
18.0,0.3,0.8,1.24666,0.5,3.3485
19.0,0.3,0.8,1.2716,0.5,2.1245
20.0,0.3,0.8,1.29653,0.5,2.1784999
21.0,0.3,0.8,1.32146,0.5,2.066
22.0,0.3,0.8,1.3464,0.5,2.0569999
23.0,0.3,0.8,1.37133,0.5,2.0615001
24.0,0.3,0.8,1.39626,0.5,2.0569999
25.0,0.3,0.81,1.22173,0.5,2.6059999
26.0,0.3,0.81,1.24666,0.5,1.4765
27.0,0.3,0.81,1.2716,0.5,3.8659999
28.0,0.3,0.81,1.29653,0.5,3.164
29.0,0.3,0.81,1.32146,0.5,1.7194999
30.0,0.3,0.81,1.3464,0.5,1.9625
31.0,0.3,0.81,1.37133,0.5,1.9715
32.0,0.3,0.81,1.39626,0.5,1.9715
33.0,0.3,0.82,1.22173,0.5,2.5745001
34.0,0.3,0.82,1.24666,0.5,2.615
35.0,0.3,0.82,1.2716,0.5,1.9445
36.0,0.3,0.82,1.29653,0.5,2.7320001
37.0,0.3,0.82,1.32146,0.5,3.6860001
38.0,0.3,0.82,1.3464,0.5,2.9030001
39.0,0.3,0.82,1.37133,0.5,1.1705
40.0,0.3,0.82,1.39626,0.5,1.949
41.0,0.3,0.83,1.22173,0.5,2.5385001
42.0,0.3,0.83,1.24666,0.5,2.5204999
43.0,0.3,0.83,1.2716,0.5,2.5204999
44.0,0.3,0.83,1.29653,0.5,2.201
45.0,0.3,0.83,1.32146,0.5,2.3675001
46.0,0.3,0.83,1.3464,0.5,2.4215
47.0,0.3,0.83,1.37133,0.5,3.5869999
48.0,0.3,0.83,1.39626,0.5,2.5880001
49.0,0.3,0.84,1.22173,0.5,2.4619999
50.0,0.3,0.84,1.24666,0.5,2.543
51.0,0.3,0.84,1.2716,0.5,2.5339999
52.0,0.3,0.84,1.29653,0.5,2.5250001
53.0,0.3,0.84,1.32146,0.5,2.408
54.0,0.3,0.84,1.3464,0.5,2.381
55.0,0.3,0.84,1.37133,0.5,2.336
56.0,0.3,0.84,1.39626,0.5,2.5880001
57.0,0.3,0.85,1.22173,0.5,2.4170001
58.0,0.3,0.85,1.24666,0.5,2.4530001
59.0,0.3,0.85,1.2716,0.5,2.687
60.0,0.3,0.85,1.29653,0.5,2.4575
61.0,0.3,0.85,1.32146,0.5,2.4665
62.0,0.3,0.85,1.3464,0.5,2.4935
63.0,0.3,0.85,1.37133,0.5,2.2955
64.0,0.3,0.85,1.39626,0.5,2.0255001
65.0,0.328571,0.78,1.22173,0.5,2.777
66.0,0.328571,0.78,1.24666,0.5,2.8039999
67.0,0.328571,0.78,1.2716,0.5,2.6194999
68.0,0.328571,0.78,1.29653,0.5,2.6329999
69.0,0.328571,0.78,1.32146,0.5,2.651
70.0,0.328571,0.78,1.3464,0.5,2.6689999
71.0,0.328571,0.78,1.37133,0.5,2.6960001
72.0,0.328571,0.78,1.39626,0.5,2.5745001
73.0,0.328571,0.79,1.22173,0.5,3.8615
74.0,0.328571,0.79,1.24666,0.5,3.5645001
75.0,0.328571,0.79,1.2716,0.5,2.237
76.0,0.328571,0.79,1.29653,0.5,2.0885
77.0,0.328571,0.79,1.32146,0.5,2.579
78.0,0.328571,0.79,1.3464,0.5,2.5610001
79.0,0.328571,0.79,1.37133,0.5,2.5834999
80.0,0.328571,0.79,1.39626,0.5,2.6015
81.0,0.328571,0.8,1.22173,0.5,3.2809999
